label,tf,pair,n,beta_s,beta_std,eg_p,j,H,hl_h,p_rev,sweep,passes,overall
BTC/ETH@1h,1h,BTC/ETH,37220,1.362,0.223,0.8105,FAIL,0.251,3286.0,0.03,MARGINAL,5,MARGINAL
BTC/BNB@1h,1h,BTC/BNB,37220,1.202,0.474,0.7021,FAIL,0.245,3025.0,0.04,PASS,4,MARGINAL
BTC/SOL@1h,1h,BTC/SOL,37220,0.521,0.219,0.6215,FAIL,0.257,2979.0,0.04,MARGINAL,5,MARGINAL
BTC/XRP@1h,1h,BTC/XRP,37220,0.758,0.259,0.8127,FAIL,0.256,5526.0,0.02,MARGINAL,4,MARGINAL
BTC/ADA@1h,1h,BTC/ADA,37220,0.617,0.231,0.9331,FAIL,0.257,14155.0,0.01,PASS,5,MARGINAL
BTC/DOGE@1h,1h,BTC/DOGE,37220,0.875,0.241,0.5529,FAIL,0.253,2436.0,0.05,MARGINAL,5,MARGINAL
BTC/LTC@1h,1h,BTC/LTC,37220,0.951,0.298,0.9194,FAIL,0.256,9832.0,0.01,MARGINAL,4,MARGINAL
BTC/BCH@1h,1h,BTC/BCH,37220,0.895,0.365,0.3513,FAIL,0.247,1668.0,0.07,MARGINAL,4,MARGINAL
BTC/ETC@1h,1h,BTC/ETC,37220,0.597,0.268,0.9883,FAIL,0.26,9999.0,0.0,MARGINAL,3,NO GO
ETH/BNB@1h,1h,ETH/BNB,37220,0.752,0.878,0.5895,FAIL,0.257,2551.0,0.04,PASS,4,MARGINAL
ETH/SOL@1h,1h,ETH/SOL,37220,0.332,0.411,0.2446,FAIL,0.256,1329.0,0.08,MARGINAL,4,MARGINAL
ETH/XRP@1h,1h,ETH/XRP,37220,0.403,0.527,0.7763,FAIL,0.263,3836.0,0.03,PASS,4,MARGINAL
ETH/ADA@1h,1h,ETH/ADA,37220,0.493,0.43,0.7663,FAIL,0.261,4378.0,0.03,MARGINAL,3,NO GO
ETH/DOGE@1h,1h,ETH/DOGE,37220,0.538,0.366,0.518,FAIL,0.256,2355.0,0.05,MARGINAL,4,MARGINAL
ETH/LTC@1h,1h,ETH/LTC,37220,0.793,0.49,0.7482,FAIL,0.258,4077.0,0.03,MARGINAL,3,NO GO
ETH/BCH@1h,1h,ETH/BCH,37220,0.594,0.792,0.0963,FAIL,0.25,960.0,0.11,PASS,4,MARGINAL
ETH/ETC@1h,1h,ETH/ETC,37220,0.715,0.411,0.7621,FAIL,0.248,4608.0,0.02,MARGINAL,3,NO GO
BNB/SOL@1h,1h,BNB/SOL,37220,0.354,0.218,0.5395,FAIL,0.245,2090.0,0.05,MARGINAL,5,MARGINAL
BNB/XRP@1h,1h,BNB/XRP,37220,0.445,0.344,0.7499,FAIL,0.249,4224.0,0.03,MARGINAL,4,MARGINAL
BNB/ADA@1h,1h,BNB/ADA,37220,0.464,0.313,0.8652,FAIL,0.249,6178.0,0.02,PASS,4,MARGINAL
BNB/DOGE@1h,1h,BNB/DOGE,37220,0.657,0.303,0.2572,FAIL,0.255,1512.0,0.07,MARGINAL,4,MARGINAL
BNB/LTC@1h,1h,BNB/LTC,37220,0.693,0.371,0.888,FAIL,0.239,6406.0,0.02,MARGINAL,2,NO GO
BNB/BCH@1h,1h,BNB/BCH,37220,0.548,0.459,0.7294,FAIL,0.243,2987.0,0.04,MARGINAL,4,MARGINAL
BNB/ETC@1h,1h,BNB/ETC,37220,0.644,0.39,0.9428,FAIL,0.254,9793.0,0.01,MARGINAL,2,NO GO
SOL/XRP@1h,1h,SOL/XRP,37220,1.102,0.456,0.8654,FAIL,0.257,7312.0,0.02,MARGINAL,4,MARGINAL
SOL/ADA@1h,1h,SOL/ADA,37220,1.382,0.333,0.8384,FAIL,0.252,6057.0,0.02,PASS,4,MARGINAL
SOL/DOGE@1h,1h,SOL/DOGE,37220,1.461,0.291,0.5702,FAIL,0.259,2838.0,0.04,MARGINAL,5,MARGINAL
SOL/LTC@1h,1h,SOL/LTC,37220,1.285,0.459,0.9204,FAIL,0.257,11670.0,0.01,MARGINAL,3,NO GO
SOL/BCH@1h,1h,SOL/BCH,37220,1.527,0.656,0.3507,FAIL,0.258,1860.0,0.06,PASS,4,MARGINAL
SOL/ETC@1h,1h,SOL/ETC,37220,1.7,0.412,0.8923,FAIL,0.258,7299.0,0.02,MARGINAL,2,NO GO
XRP/ADA@1h,1h,XRP/ADA,37220,0.728,0.265,0.9646,FAIL,0.254,16728.0,0.01,PASS,5,MARGINAL
XRP/DOGE@1h,1h,XRP/DOGE,37220,0.823,0.252,0.8287,FAIL,0.258,3303.0,0.03,MARGINAL,5,MARGINAL
XRP/LTC@1h,1h,XRP/LTC,37220,1.299,0.377,0.8827,FAIL,0.244,4371.0,0.03,MARGINAL,3,NO GO
XRP/BCH@1h,1h,XRP/BCH,37220,0.591,0.641,0.9577,FAIL,0.254,13395.0,0.01,MARGINAL,4,MARGINAL
XRP/ETC@1h,1h,XRP/ETC,37220,0.482,0.27,0.9915,FAIL,0.254,9999.0,0.0,MARGINAL,4,MARGINAL
ADA/DOGE@1h,1h,ADA/DOGE,37220,0.619,0.297,0.2252,FAIL,0.245,1857.0,0.06,MARGINAL,5,MARGINAL
ADA/LTC@1h,1h,ADA/LTC,37220,1.092,0.471,0.5847,FAIL,0.249,2738.0,0.04,PASS,3,NO GO
ADA/BCH@1h,1h,ADA/BCH,37220,0.419,0.755,0.4162,FAIL,0.241,2441.0,0.05,MARGINAL,4,MARGINAL
ADA/ETC@1h,1h,ADA/ETC,37220,1.187,0.327,0.5042,FAIL,0.25,1998.0,0.06,PASS,3,NO GO
DOGE/LTC@1h,1h,DOGE/LTC,37220,1.27,0.432,0.491,PASS,0.256,2349.0,0.05,PASS,4,MARGINAL
DOGE/BCH@1h,1h,DOGE/BCH,37220,0.707,0.82,0.4803,FAIL,0.252,2127.0,0.05,MARGINAL,4,MARGINAL
DOGE/ETC@1h,1h,DOGE/ETC,37220,0.863,0.396,0.8246,FAIL,0.266,5453.0,0.02,PASS,3,NO GO
LTC/BCH@1h,1h,LTC/BCH,37220,0.227,0.664,0.0948,FAIL,0.244,1068.0,0.1,MARGINAL,3,NO GO
LTC/ETC@1h,1h,LTC/ETC,37220,0.381,0.275,0.2185,PASS,0.243,1482.0,0.08,MARGINAL,4,MARGINAL
BCH/ETC@1h,1h,BCH/ETC,37220,0.785,0.44,0.9249,FAIL,0.243,9339.0,0.01,MARGINAL,3,NO GO
BTC/ETH@4h,4h,BTC/ETH,9305,1.363,0.223,0.7927,FAIL,0.246,3275.0,0.26,PASS,6,GO
BTC/BNB@4h,4h,BTC/BNB,9305,1.201,0.474,0.6696,FAIL,0.241,3086.0,0.28,PASS,5,MARGINAL
BTC/SOL@4h,4h,BTC/SOL,9305,0.521,0.218,0.6466,FAIL,0.256,3361.0,0.26,PASS,6,GO
BTC/XRP@4h,4h,BTC/XRP,9305,0.758,0.258,0.8057,FAIL,0.264,5671.0,0.16,PASS,5,MARGINAL
BTC/ADA@4h,4h,BTC/ADA,9305,0.617,0.232,0.9288,FAIL,0.245,15413.0,0.06,PASS,5,MARGINAL
BTC/DOGE@4h,4h,BTC/DOGE,9305,0.875,0.241,0.4997,FAIL,0.26,2656.0,0.31,PASS,6,GO
BTC/LTC@4h,4h,BTC/LTC,9305,0.952,0.298,0.9378,FAIL,0.23,10424.0,0.09,PASS,4,MARGINAL
BTC/BCH@4h,4h,BTC/BCH,9305,0.895,0.365,0.3141,FAIL,0.255,1707.0,0.44,PASS,5,MARGINAL
BTC/ETC@4h,4h,BTC/ETC,9305,0.597,0.269,0.9911,FAIL,0.244,9999.0,0.0,PASS,4,MARGINAL
ETH/BNB@4h,4h,ETH/BNB,9305,0.752,0.88,0.5141,FAIL,0.255,2513.0,0.33,PASS,5,MARGINAL
ETH/SOL@4h,4h,ETH/SOL,9305,0.332,0.41,0.0894,FAIL,0.259,1375.0,0.52,PASS,5,MARGINAL
ETH/XRP@4h,4h,ETH/XRP,9305,0.403,0.524,0.7388,FAIL,0.261,3828.0,0.23,PASS,5,MARGINAL
ETH/ADA@4h,4h,ETH/ADA,9305,0.493,0.43,0.7569,FAIL,0.26,4586.0,0.2,PASS,4,MARGINAL
ETH/DOGE@4h,4h,ETH/DOGE,9305,0.537,0.366,0.5194,FAIL,0.25,2402.0,0.34,PASS,5,MARGINAL
ETH/LTC@4h,4h,ETH/LTC,9305,0.793,0.492,0.7523,FAIL,0.249,4338.0,0.21,PASS,4,MARGINAL
ETH/BCH@4h,4h,ETH/BCH,9305,0.594,0.785,0.0909,FAIL,0.257,975.0,0.64,PASS,5,MARGINAL
ETH/ETC@4h,4h,ETH/ETC,9305,0.715,0.412,0.7794,FAIL,0.237,4927.0,0.18,PASS,3,NO GO
BNB/SOL@4h,4h,BNB/SOL,9305,0.354,0.219,0.5447,FAIL,0.233,2221.0,0.36,PASS,6,GO
BNB/XRP@4h,4h,BNB/XRP,9305,0.445,0.345,0.7662,FAIL,0.253,4295.0,0.21,PASS,5,MARGINAL
BNB/ADA@4h,4h,BNB/ADA,9305,0.464,0.315,0.8731,FAIL,0.25,6535.0,0.14,PASS,4,MARGINAL
BNB/DOGE@4h,4h,BNB/DOGE,9305,0.656,0.304,0.2577,FAIL,0.25,1544.0,0.48,PASS,5,MARGINAL
BNB/LTC@4h,4h,BNB/LTC,9305,0.694,0.372,0.8887,FAIL,0.23,6708.0,0.14,PASS,3,NO GO
BNB/BCH@4h,4h,BNB/BCH,9305,0.548,0.457,0.744,FAIL,0.258,3120.0,0.27,PASS,5,MARGINAL
BNB/ETC@4h,4h,BNB/ETC,9305,0.644,0.393,0.9358,FAIL,0.248,10142.0,0.09,PASS,3,NO GO
SOL/XRP@4h,4h,SOL/XRP,9305,1.102,0.453,0.8571,FAIL,0.272,7802.0,0.12,PASS,4,MARGINAL
SOL/ADA@4h,4h,SOL/ADA,9305,1.382,0.332,0.8319,FAIL,0.251,6565.0,0.14,PASS,4,MARGINAL
SOL/DOGE@4h,4h,SOL/DOGE,9305,1.461,0.29,0.5198,FAIL,0.257,2984.0,0.28,PASS,6,GO
SOL/LTC@4h,4h,SOL/LTC,9305,1.285,0.46,0.9207,FAIL,0.26,12444.0,0.08,PASS,3,NO GO
SOL/BCH@4h,4h,SOL/BCH,9305,1.527,0.654,0.3273,FAIL,0.268,1929.0,0.4,PASS,5,MARGINAL
SOL/ETC@4h,4h,SOL/ETC,9305,1.7,0.414,0.8762,FAIL,0.262,7675.0,0.12,PASS,3,NO GO
XRP/ADA@4h,4h,XRP/ADA,9305,0.729,0.266,0.9636,FAIL,0.26,20483.0,0.05,PASS,5,MARGINAL
XRP/DOGE@4h,4h,XRP/DOGE,9305,0.823,0.253,0.7271,FAIL,0.26,3452.0,0.25,PASS,6,GO
XRP/LTC@4h,4h,XRP/LTC,9305,1.3,0.377,0.8941,FAIL,0.239,4452.0,0.2,PASS,4,MARGINAL
XRP/BCH@4h,4h,XRP/BCH,9305,0.591,0.631,0.9513,FAIL,0.275,14731.0,0.07,PASS,4,MARGINAL
XRP/ETC@4h,4h,XRP/ETC,9305,0.482,0.271,0.9905,FAIL,0.269,9999.0,0.0,PASS,4,MARGINAL
ADA/DOGE@4h,4h,ADA/DOGE,9305,0.619,0.297,0.221,FAIL,0.231,1953.0,0.4,PASS,6,GO
ADA/LTC@4h,4h,ADA/LTC,9305,1.092,0.475,0.5339,FAIL,0.239,2852.0,0.3,PASS,4,MARGINAL
ADA/BCH@4h,4h,ADA/BCH,9305,0.419,0.749,0.4106,FAIL,0.255,2550.0,0.32,PASS,5,MARGINAL
ADA/ETC@4h,4h,ADA/ETC,9305,1.187,0.328,0.4853,FAIL,0.244,2148.0,0.37,PASS,4,MARGINAL
DOGE/LTC@4h,4h,DOGE/LTC,9305,1.271,0.434,0.602,PASS,0.231,2472.0,0.33,PASS,5,MARGINAL
DOGE/BCH@4h,4h,DOGE/BCH,9305,0.707,0.815,0.443,FAIL,0.265,2275.0,0.36,PASS,5,MARGINAL
DOGE/ETC@4h,4h,DOGE/ETC,9305,0.862,0.396,0.8269,FAIL,0.264,5999.0,0.15,PASS,3,NO GO
LTC/BCH@4h,4h,LTC/BCH,9305,0.227,0.661,0.0922,FAIL,0.212,1136.0,0.58,PASS,4,MARGINAL
LTC/ETC@4h,4h,LTC/ETC,9305,0.381,0.275,0.2486,PASS,0.208,1593.0,0.47,PASS,5,MARGINAL
BCH/ETC@4h,4h,BCH/ETC,9305,0.785,0.442,0.9419,FAIL,0.265,10084.0,0.09,PASS,3,NO GO
